time	current
32640.0	4.5225164374
32700.0	4.7532992491
32760.0	4.7147458217
32820.0	4.8634573221
32880.0	4.8838199587
32940.0	4.7988689451
33000.0	4.9012588997
33060.0	5.017698232
33120.0	5.2134213498
33180.0	5.4192433103
33240.0	5.4122047407
33300.0	5.3226130734
33360.0	5.1553448743
33420.0	5.2411477153
33480.0	5.4381331047
33540.0	5.3133521214
33600.0	5.2874702125
33660.0	5.1976753014
33720.0	5.3828489518
33780.0	5.2916396456
33840.0	5.5781058629
33900.0	5.3917314028
33960.0	5.3068369629
34020.0	5.8428907779
34080.0	5.8277338498
34140.0	5.5271612814
34200.0	5.4959026587
34260.0	5.435991405
34320.0	5.3595052272
34380.0	5.8137783589
34440.0	5.4919757055
34500.0	5.5492526068
34560.0	5.4583836227
34620.0	5.5975399382
34680.0	5.5151347274
34740.0	5.0919216042
34800.0	5.3558298574
34860.0	5.1911722841
34920.0	5.0848926654
34980.0	5.2304001352
35040.0	5.1272641889
35100.0	5.3355688923
35160.0	5.3505539219
35220.0	5.1079818182
35280.0	5.8250845957
35340.0	5.7034658395
35400.0	5.9213104396
35460.0	5.727762863
35520.0	5.6460833596
35580.0	5.9312001244
35640.0	5.8194474058
35700.0	5.6876243032
35760.0	5.5593318354
35820.0	5.5706307903
35880.0	5.1454541031
35940.0	5.3423096664
36000.0	5.2361922395
36060.0	5.3069425678
36120.0	5.1583811239
36180.0	5.1874331882
36240.0	4.8754857342
36300.0	4.9875672931
36360.0	5.2204547016
36420.0	4.9810448977
36480.0	5.3963820413
36540.0	5.6437344503
36600.0	5.1578507286
36660.0	5.2311867863
36720.0	5.1718790855
36780.0	5.2366416567
36840.0	5.4273039674
36900.0	5.2614134096
36960.0	4.6978845945
37020.0	4.8303965152
37080.0	4.858909553
37140.0	4.8596312985
37200.0	4.8309942304
37260.0	5.1493404878
37320.0	4.6628281838
37380.0	4.6656067761
37440.0	4.3893919936
37500.0	4.6136042546
37560.0	4.6513067581
37620.0	4.5666331773
37680.0	4.677655914
37740.0	4.279318164
37800.0	4.498976745
37860.0	4.3293680602
37920.0	4.2641886675
37980.0	4.2106318893
38040.0	4.2688227103
38100.0	4.292251877
38160.0	4.4040652818
38220.0	4.3685011687
38280.0	4.2766941243
38340.0	4.0283546903
38400.0	4.2931412816
38460.0	4.3231323689
38520.0	3.987186723
38580.0	4.2071783952
38640.0	4.4178449211
38700.0	4.3534483259
38760.0	4.5340632259
38820.0	4.8460006163
38880.0	4.7706951409
38940.0	4.3643053786
39000.0	4.7919860969
39060.0	4.7277990623
39120.0	4.8226338541
39180.0	4.6461015474
39240.0	5.0125631344
39300.0	5.2766310791
39360.0	4.9876641816
39420.0	4.8065068567
39480.0	5.0941431664
39540.0	4.9621044263
39600.0	4.9858177682
39660.0	4.8007425637
39720.0	4.5065838723
39780.0	4.9152012426
39840.0	4.886792117
39900.0	4.6793615167
39960.0	4.8372454987
40020.0	4.8393680871
40080.0	4.6750067709
40140.0	4.6647612765
40200.0	4.6062459433
40260.0	4.6566902942
40320.0	4.8360523645
40380.0	4.8891019524
40440.0	4.8539094056
40500.0	4.9543160412
40560.0	4.7389721909
40620.0	4.486723435
40680.0	4.84707623
40740.0	4.6552833002
40800.0	4.6418894719
40860.0	4.5551333917
40920.0	5.0472167944
40980.0	5.0305577528
41040.0	4.7972925445
41100.0	4.9214902017
41160.0	4.9171531598
41220.0	4.9155572518
41280.0	4.9970731137
41340.0	5.2856376177
41400.0	5.1896753162
41460.0	5.3785671964
41520.0	5.3966771096
41580.0	4.9690828359
41640.0	5.1646684183
41700.0	5.0336950143
41760.0	5.3755287482
41820.0	5.4021473719
41880.0	5.1785880714
41940.0	5.3278170537
42000.0	5.0352127263
42060.0	4.9069808303
42120.0	5.2541728901
42180.0	5.2613125214
42240.0	5.4760942239
42300.0	5.0994505974
42360.0	4.9834106655
42420.0	5.4200102341
42480.0	5.5271238632
